datetime,open,high,low,close,volume,ema-50,tema-50,dema-50,zlema-50,hma-50,macd,rsi-14,stochrsi-14,cci-20,mfi-14,mass-10,mom-10,sma-50,vwma-50,wma-50,kama-50,trima-50,bbands-sma-20-2,atr-14,ultosc-7-14-28,obv,ao
1443225600.0,239.99,239.99,234.81,235.2,190090.0,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0]",0.0,0.0,0.0,0.0
1443312000.0,235.2,235.36,232.91,234.51,258488.0,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0]",0.0,0.0,0.0,0.0
1443398400.0,234.51,234.76,233.03,233.29,161013.0,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0]",0.0,0.0,-258488.0,0.0
1443484800.0,233.29,243.19,232.9,240.07,319143.0,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0]",0.0,0.0,-419501.0,0.0
1443571200.0,240.07,241.5,235.81,237.0,368771.0,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0]",0.0,0.0,-100358.0,0.0
1443657600.0,237.0,238.2,235.56,236.55,294736.0,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0]",0.0,0.0,-469129.0,0.0
1443744000.0,236.55,239.53,234.63,238.1,180356.0,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0]",0.0,0.0,-763865.0,0.0
1443830400.0,238.1,238.99,237.09,238.0,133911.0,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0]",0.0,0.0,-583509.0,0.0
1443916800.0,238.0,241.0,237.53,239.67,127411.0,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0]",0.0,0.0,-717420.0,0.0
1444003200.0,239.67,239.93,238.3,238.58,148659.0,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0]",0.0,0.0,0.0,0.0,12.20352987994846,5.650000000000006,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0]",0.0,0.0,-590009.0,0.0
1444089600.0,238.58,240.85,237.77,240.85,255736.0,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0]",0.0,0.0,0.0,0.0,12.548547514574324,12.580000000000013,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0]",0.0,0.0,-738668.0,0.0
